,num,joueur
0,,Ali Al-Habsi
1,,Arouna Koné
2,,Ronnie Stam
3,,Jordi Gómez
4,,Maynor Figueroa
5,,Iván Ramis
6,,Emmerson Boyce
7,,James McCarthy
8,,David Jones
9,,Shaun Maloney
10,,Jean Beausejour
