,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2017-08-12,17:30 ,Premier League,Matchweek 1,Sat,Away,W,2,0,Brighton,1.9,0.3,77,"30,415",Vincent Kompany,3-1-4-2,Michael Oliver,https://fbref.com/en/matches/072bfc99/Brighton-and-Hove-Albion-Manchester-City-August-12-2017-Premier-League,
1,2017-08-21,20:00 ,Premier League,Matchweek 2,Mon,Home,D,1,1,Everton,1.1,0.6,64,"49,108",Vincent Kompany,3-1-4-2,Robert Madley,https://fbref.com/en/matches/424dc3f9/Manchester-City-Everton-August-21-2017-Premier-League,
2,2017-08-26,12:30 ,Premier League,Matchweek 3,Sat,Away,W,2,1,Bournemouth,1.4,0.5,70,"10,419",Vincent Kompany,4-3-3,Mike Dean,https://fbref.com/en/matches/77beb1ff/Bournemouth-Manchester-City-August-26-2017-Premier-League,
3,2017-09-09,12:30 ,Premier League,Matchweek 4,Sat,Home,W,5,0,Liverpool,2.4,0.7,66,"54,172",David Silva,3-1-4-2,Jonathan Moss,https://fbref.com/en/matches/39dcce19/Manchester-City-Liverpool-September-9-2017-Premier-League,
5,2017-09-16,15:00 ,Premier League,Matchweek 5,Sat,Away,W,6,0,Watford,3.3,0.5,67,"20,305",David Silva,4-3-3,Anthony Taylor,https://fbref.com/en/matches/f9dc0d8f/Watford-Manchester-City-September-16-2017-Premier-League,
7,2017-09-23,15:00 ,Premier League,Matchweek 6,Sat,Home,W,5,0,Crystal Palace,4.5,0.6,71,"53,526",David Silva,4-3-3,Niel Swarbrick,https://fbref.com/en/matches/63496f6c/Manchester-City-Crystal-Palace-September-23-2017-Premier-League,
9,2017-09-30,17:30 ,Premier League,Matchweek 7,Sat,Away,W,1,0,Chelsea,0.9,0.5,61,"41,530",David Silva,4-3-3,Martin Atkinson,https://fbref.com/en/matches/9ebfd27b/Chelsea-Manchester-City-September-30-2017-Premier-League,
10,2017-10-14,15:00 ,Premier League,Matchweek 8,Sat,Home,W,7,2,Stoke City,3.8,0.5,79,"54,128",David Silva,4-3-3,Craig Pawson,https://fbref.com/en/matches/f81f42ed/Manchester-City-Stoke-City-October-14-2017-Premier-League,
12,2017-10-21,15:00 ,Premier League,Matchweek 9,Sat,Home,W,3,0,Burnley,3.1,0.2,77,"54,118",David Silva,4-3-3,Roger East,https://fbref.com/en/matches/11c702a4/Manchester-City-Burnley-October-21-2017-Premier-League,
14,2017-10-28,15:00 ,Premier League,Matchweek 10,Sat,Away,W,3,2,West Brom,2.3,1.5,77,"24,003",David Silva,4-3-3,Mike Jones,https://fbref.com/en/matches/fdbbce69/West-Bromwich-Albion-Manchester-City-October-28-2017-Premier-League,
