,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2013-08-18,,Premier League,Matchweek 1,Sun,Home,W,2,0,Hull City,,"41,374",,4-2-3-1,Jon Moss,https://fbref.com/en/matches/c5a0c463/Chelsea-Hull-City-August-18-2013-Premier-League,
1,2013-08-21,,Premier League,Matchweek 3,Wed,Home,W,2,1,Aston Villa,,"41,527",,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/4f77fdcb/Chelsea-Aston-Villa-August-21-2013-Premier-League,
2,2013-08-26,,Premier League,Matchweek 2,Mon,Away,D,0,0,Manchester Utd,,"75,032",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/2f4fb646/Manchester-United-Chelsea-August-26-2013-Premier-League,
3,2013-09-14,,Premier League,Matchweek 4,Sat,Away,L,0,1,Everton,,"36,034",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/0e464fc2/Everton-Chelsea-September-14-2013-Premier-League,
5,2013-09-21,,Premier League,Matchweek 5,Sat,Home,W,2,0,Fulham,,"41,608",,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/ddae5f61/Chelsea-Fulham-September-21-2013-Premier-League,
6,2013-09-28,,Premier League,Matchweek 6,Sat,Away,D,1,1,Tottenham,,"35,857",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/4e1ede41/Tottenham-Hotspur-Chelsea-September-28-2013-Premier-League,
8,2013-10-06,,Premier League,Matchweek 7,Sun,Away,W,3,1,Norwich City,,"26,840",,4-2-3-1,Neil Swarbrick,https://fbref.com/en/matches/cd9481b5/Norwich-City-Chelsea-October-6-2013-Premier-League,
9,2013-10-19,,Premier League,Matchweek 8,Sat,Home,W,4,1,Cardiff City,,"41,475",,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/0075b8f0/Chelsea-Cardiff-City-October-19-2013-Premier-League,
11,2013-10-27,,Premier League,Matchweek 9,Sun,Home,W,2,1,Manchester City,,"41,495",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/77efb5c5/Chelsea-Manchester-City-October-27-2013-Premier-League,
12,2013-11-02,,Premier League,Matchweek 10,Sat,Away,L,0,2,Newcastle Utd,,"51,674",,4-2-3-1,Lee Mason,https://fbref.com/en/matches/7023a8d4/Newcastle-United-Chelsea-November-2-2013-Premier-League,
14,2013-11-09,,Premier League,Matchweek 11,Sat,Home,D,2,2,West Brom,,"41,623",,4-2-3-1,Lee Probert,https://fbref.com/en/matches/9e4346af/Chelsea-West-Bromwich-Albion-November-9-2013-Premier-League,
15,2013-11-23,,Premier League,Matchweek 12,Sat,Away,W,3,0,West Ham,,"34,977",,4-3-3,Chris Foy,https://fbref.com/en/matches/b256a4e9/West-Ham-United-Chelsea-November-23-2013-Premier-League,
17,2013-12-01,,Premier League,Matchweek 13,Sun,Home,W,3,1,Southampton,,"41,568",,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/f3acfe5d/Chelsea-Southampton-December-1-2013-Premier-League,
18,2013-12-04,,Premier League,Matchweek 14,Wed,Away,W,4,3,Sunderland,,"40,652",,4-2-3-1,Phil Dowd,https://fbref.com/en/matches/b9f68932/Sunderland-Chelsea-December-4-2013-Premier-League,
19,2013-12-07,,Premier League,Matchweek 15,Sat,Away,L,2,3,Stoke City,,"25,154",,4-2-3-1,Jon Moss,https://fbref.com/en/matches/be87a9fa/Stoke-City-Chelsea-December-7-2013-Premier-League,
21,2013-12-14,,Premier League,Matchweek 16,Sat,Home,W,2,1,Crystal Palace,,"41,608",,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/ca49f7b4/Chelsea-Crystal-Palace-December-14-2013-Premier-League,
22,2013-12-23,,Premier League,Matchweek 17,Mon,Away,D,0,0,Arsenal,,"60,039",,4-3-3,Mike Dean,https://fbref.com/en/matches/6cd70275/North-West-London-Derby-Arsenal-Chelsea-December-23-2013-Premier-League,
23,2013-12-26,,Premier League,Matchweek 18,Thu,Home,W,1,0,Swansea City,,"41,111",,4-2-3-1,Mike Jones,https://fbref.com/en/matches/4c5651eb/Chelsea-Swansea-City-December-26-2013-Premier-League,
24,2013-12-29,,Premier League,Matchweek 19,Sun,Home,W,2,1,Liverpool,,"41,614",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/f4afb3f4/Chelsea-Liverpool-December-29-2013-Premier-League,
25,2014-01-01,,Premier League,Matchweek 20,Wed,Away,W,3,0,Southampton,,"31,271",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/e75fa365/Southampton-Chelsea-January-1-2014-Premier-League,
26,2014-01-11,,Premier League,Matchweek 21,Sat,Away,W,2,0,Hull City,,"24,924",,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/1a81e42a/Hull-City-Chelsea-January-11-2014-Premier-League,
27,2014-01-19,,Premier League,Matchweek 22,Sun,Home,W,3,1,Manchester Utd,,"41,615",,4-2-3-1,Phil Dowd,https://fbref.com/en/matches/13ac85cf/Chelsea-Manchester-United-January-19-2014-Premier-League,
28,2014-01-29,,Premier League,Matchweek 23,Wed,Home,D,0,0,West Ham,,"41,376",,4-2-3-1,Neil Swarbrick,https://fbref.com/en/matches/1fca1993/Chelsea-West-Ham-United-January-29-2014-Premier-League,
