,num,joueur
0,,Matt Gilks
1,,Elliot Grandin
2,,DJ Campbell
3,,David Vaughan
4,,Charlie Adam
5,,Craig Cathcart
6,,Gary Taylor-Fletcher
7,,Stephen Crainey
8,,Neal Eardley
9,,Luke Varney
10,,Ian Evatt
