,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2012-08-19,,Premier League,Matchweek 1,Sun,Home,W,3,2,Southampton,,"46,190",,4-4-2,Howard Webb,https://fbref.com/en/matches/1c99515c/Manchester-City-Southampton-August-19-2012-Premier-League,
1,2012-08-26,,Premier League,Matchweek 2,Sun,Away,D,2,2,Liverpool,,"44,942",,3-5-2,Andre Marriner,https://fbref.com/en/matches/72d5d178/Liverpool-Manchester-City-August-26-2012-Premier-League,
2,2012-09-01,,Premier League,Matchweek 3,Sat,Home,W,3,1,QPR,,"45,579",,4-4-1-1,Chris Foy,https://fbref.com/en/matches/69ec8c1b/Manchester-City-Queens-Park-Rangers-September-1-2012-Premier-League,
3,2012-09-15,,Premier League,Matchweek 4,Sat,Away,D,1,1,Stoke City,,"27,101",,4-4-1-1,Mark Clattenburg,https://fbref.com/en/matches/02581161/Stoke-City-Manchester-City-September-15-2012-Premier-League,
5,2012-09-23,,Premier League,Matchweek 5,Sun,Home,D,1,1,Arsenal,,"47,318",,4-4-1-1,Mike Dean,https://fbref.com/en/matches/4c5198c8/Manchester-City-Arsenal-September-23-2012-Premier-League,
6,2012-09-29,,Premier League,Matchweek 6,Sat,Away,W,2,1,Fulham,,"25,698",,4-2-3-1,Mark Halsey,https://fbref.com/en/matches/8bb7fd65/Fulham-Manchester-City-September-29-2012-Premier-League,
8,2012-10-06,,Premier League,Matchweek 7,Sat,Home,W,3,0,Sunderland,,"47,036",,4-2-3-1,Lee Probert,https://fbref.com/en/matches/dcb86135/Manchester-City-Sunderland-October-6-2012-Premier-League,
9,2012-10-20,,Premier League,Matchweek 8,Sat,Away,W,2,1,West Brom,,"24,891",,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/a09d221a/West-Bromwich-Albion-Manchester-City-October-20-2012-Premier-League,
11,2012-10-27,,Premier League,Matchweek 9,Sat,Home,W,1,0,Swansea City,,"46,801",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/44da39c3/Manchester-City-Swansea-City-October-27-2012-Premier-League,
12,2012-11-03,,Premier League,Matchweek 10,Sat,Away,D,0,0,West Ham,,"35,005",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/bd5a581d/West-Ham-United-Manchester-City-November-3-2012-Premier-League,
14,2012-11-11,,Premier League,Matchweek 11,Sun,Home,W,2,1,Tottenham,,"47,208",,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/6ed676eb/Manchester-City-Tottenham-Hotspur-November-11-2012-Premier-League,
15,2012-11-17,,Premier League,Matchweek 12,Sat,Home,W,5,0,Aston Villa,,"47,072",,4-2-3-1,Jon Moss,https://fbref.com/en/matches/42c33d7a/Manchester-City-Aston-Villa-November-17-2012-Premier-League,
17,2012-11-25,,Premier League,Matchweek 13,Sun,Away,D,0,0,Chelsea,,"41,792",,4-4-1-1,Chris Foy,https://fbref.com/en/matches/53d7f78d/Chelsea-Manchester-City-November-25-2012-Premier-League,
18,2012-11-28,,Premier League,Matchweek 14,Wed,Away,W,2,0,Wigan Athletic,,"19,623",,4-2-3-1,Mark Halsey,https://fbref.com/en/matches/cc2623e9/Wigan-Athletic-Manchester-City-November-28-2012-Premier-League,
19,2012-12-01,,Premier League,Matchweek 15,Sat,Home,D,1,1,Everton,,"47,386",,4-4-1-1,Lee Probert,https://fbref.com/en/matches/9f11bae3/Manchester-City-Everton-December-1-2012-Premier-League,
21,2012-12-09,,Premier League,Matchweek 16,Sun,Home,L,2,3,Manchester Utd,,"47,166",,4-4-1-1,Martin Atkinson,https://fbref.com/en/matches/51f9ca16/Manchester-Derby-Manchester-City-Manchester-United-December-9-2012-Premier-League,
22,2012-12-15,,Premier League,Matchweek 17,Sat,Away,W,3,1,Newcastle Utd,,"49,579",,4-4-1-1,Andre Marriner,https://fbref.com/en/matches/cab701df/Newcastle-United-Manchester-City-December-15-2012-Premier-League,
23,2012-12-22,,Premier League,Matchweek 18,Sat,Home,W,1,0,Reading,,"47,007",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/2dda4eeb/Manchester-City-Reading-December-22-2012-Premier-League,
24,2012-12-26,,Premier League,Matchweek 19,Wed,Away,L,0,1,Sunderland,,"42,190",,4-4-1-1,Kevin Friend,https://fbref.com/en/matches/0c45a190/Sunderland-Manchester-City-December-26-2012-Premier-League,
25,2012-12-29,,Premier League,Matchweek 20,Sat,Away,W,4,3,Norwich City,,"26,827",,4-4-1-1,Mike Jones,https://fbref.com/en/matches/c3eaadcc/Norwich-City-Manchester-City-December-29-2012-Premier-League,
26,2013-01-01,,Premier League,Matchweek 21,Tue,Home,W,3,0,Stoke City,,"47,192",,4-4-1-1,Michael Oliver,https://fbref.com/en/matches/f85109e1/Manchester-City-Stoke-City-January-1-2013-Premier-League,
27,2013-01-13,,Premier League,Matchweek 22,Sun,Away,W,2,0,Arsenal,,"60,107",,4-4-1-1,Mike Dean,https://fbref.com/en/matches/8948660c/Arsenal-Manchester-City-January-13-2013-Premier-League,
28,2013-01-19,,Premier League,Matchweek 23,Sat,Home,W,2,0,Fulham,,"47,286",,4-4-1-1,Jon Moss,https://fbref.com/en/matches/92d6591a/Manchester-City-Fulham-January-19-2013-Premier-League,
29,2013-01-29,,Premier League,Matchweek 24,Tue,Away,D,0,0,QPR,,"17,894",,4-4-1-1,Phil Dowd,https://fbref.com/en/matches/1979fe3c/Queens-Park-Rangers-Manchester-City-January-29-2013-Premier-League,
30,2013-02-03,,Premier League,Matchweek 25,Sun,Home,D,2,2,Liverpool,,"47,301",,4-4-1-1,Anthony Taylor,https://fbref.com/en/matches/ec2b63d6/Manchester-City-Liverpool-February-3-2013-Premier-League,
31,2013-02-09,,Premier League,Matchweek 26,Sat,Away,L,1,3,Southampton,,"31,738",,4-4-1-1,Martin Atkinson,https://fbref.com/en/matches/f66476bd/Southampton-Manchester-City-February-9-2013-Premier-League,
32,2013-02-24,,Premier League,Matchweek 27,Sun,Home,W,2,0,Chelsea,,"47,256",,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/d408a4cf/Manchester-City-Chelsea-February-24-2013-Premier-League,
33,2013-03-04,,Premier League,Matchweek 28,Mon,Away,W,1,0,Aston Villa,,"33,217",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/a93cbe3d/Aston-Villa-Manchester-City-March-4-2013-Premier-League,
34,2013-03-16,,Premier League,Matchweek 30,Sat,Away,L,0,2,Everton,,"36,519",,3-4-3,Lee Probert,https://fbref.com/en/matches/b855f44e/Everton-Manchester-City-March-16-2013-Premier-League,
35,2013-03-30,,Premier League,Matchweek 31,Sat,Home,W,4,0,Newcastle Utd,,"47,201",,4-4-1-1,Neil Swarbrick,https://fbref.com/en/matches/c9b6982b/Manchester-City-Newcastle-United-March-30-2013-Premier-League,
36,2013-04-08,,Premier League,Matchweek 32,Mon,Away,W,2,1,Manchester Utd,,"75,498",,4-2-3-1,Mike Dean,https://fbref.com/en/matches/68c9f470/Manchester-Derby-Manchester-United-Manchester-City-April-8-2013-Premier-League,
37,2013-04-17,,Premier League,Matchweek 29,Wed,Home,W,1,0,Wigan Athletic,,"47,106",,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/069c7421/Manchester-City-Wigan-Athletic-April-17-2013-Premier-League,
38,2013-04-21,,Premier League,Matchweek 34,Sun,Away,L,1,3,Tottenham,,"36,121",,4-4-1-1,Lee Mason,https://fbref.com/en/matches/72238c88/Tottenham-Hotspur-Manchester-City-April-21-2013-Premier-League,
39,2013-04-27,,Premier League,Matchweek 35,Sat,Home,W,2,1,West Ham,,"47,189",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/f25be380/Manchester-City-West-Ham-United-April-27-2013-Premier-League,
40,2013-05-04,,Premier League,Matchweek 36,Sat,Away,D,0,0,Swansea City,,"20,242",,4-2-3-1,Mike Jones,https://fbref.com/en/matches/6e762d98/Swansea-City-Manchester-City-May-4-2013-Premier-League,
41,2013-05-07,,Premier League,Matchweek 33,Tue,Home,W,1,0,West Brom,,"46,158",,4-4-1-1,Phil Dowd,https://fbref.com/en/matches/166778ce/Manchester-City-West-Bromwich-Albion-May-7-2013-Premier-League,
42,2013-05-14,,Premier League,Matchweek 37,Tue,Away,W,2,0,Reading,,"22,859",,4-4-1-1,Martin Atkinson,https://fbref.com/en/matches/c5c511b8/Reading-Manchester-City-May-14-2013-Premier-League,
43,2013-05-19,,Premier League,Matchweek 38,Sun,Home,L,2,3,Norwich City,,"47,054",,4-4-1-1,Mark Halsey,https://fbref.com/en/matches/6cf976af/Manchester-City-Norwich-City-May-19-2013-Premier-League,
