,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Dominic Solanke,9.0,eng ENG,FW,25-241,90,34,3,7,14,13,3,34,1,0,0.0,1,100.0,18,89,33,2,0,0,5,5,22,6
1,Ryan Christie,10.0,sct SCO,LW,28-080,59,29,2,9,13,9,4,29,3,3,100.0,0,0.0,13,56,24,1,2,0,2,0,16,4
2,Kieffer Moore,21.0,wls WAL,FW,30-278,31,14,2,2,6,6,1,14,1,0,0.0,1,100.0,2,2,0,0,0,0,0,0,8,1
3,Dango Ouattara,11.0,bf BFA,"RW,LM",21-091,72,34,4,9,14,11,2,34,2,1,50.0,1,50.0,17,76,45,2,1,1,2,1,20,0
4,Jaidon Anthony,32.0,eng ENG,LM,23-163,18,12,0,4,3,5,1,12,1,1,100.0,0,0.0,7,8,2,0,0,0,0,2,9,2
5,Philip Billing,29.0,dk DEN,AM,26-336,59,20,0,2,10,8,1,20,0,0,,0,,13,41,6,0,1,0,1,2,19,4
6,David Brooks,7.0,wls WAL,RM,25-309,31,10,0,2,6,2,0,10,0,0,,0,,7,5,2,0,0,0,0,1,9,3
7,Joe Rothwell,14.0,eng ENG,"DM,CM",28-122,80,34,1,13,19,2,0,34,1,1,100.0,0,0.0,23,88,30,0,0,0,1,1,27,0
8,Lewis Cook,4.0,eng ENG,CM,26-099,10,11,0,3,5,3,0,11,0,0,,0,,5,5,2,0,0,0,0,0,6,0
9,Jefferson Lerma,8.0,co COL,"DM,CM",28-200,90,56,5,15,34,7,1,56,1,0,0.0,1,100.0,23,47,16,0,0,0,2,1,28,0
10,Matías Viña,18.0,uy URU,LB,25-185,59,36,3,19,11,6,0,36,2,0,0.0,2,100.0,16,63,39,1,1,0,1,1,19,0
11,Adam Smith,15.0,eng ENG,RB,32-014,31,11,1,3,8,0,0,11,0,0,,0,,5,6,1,0,0,0,0,0,7,1
12,Lloyd Kelly,5.0,eng ENG,"CB,LB",24-219,90,82,17,60,17,5,0,82,0,0,,0,,43,149,105,0,0,0,0,0,48,0
13,Illia Zabarnyi,27.0,ua UKR,CB,20-254,90,77,12,59,18,0,0,77,1,1,100.0,0,0.0,55,288,198,0,0,0,1,1,58,0
14,Chris Mepham,6.0,wls WAL,"RB,CB",25-189,90,65,10,40,22,3,0,65,1,0,0.0,1,100.0,39,120,80,0,0,0,0,0,40,0
15,Neto,13.0,br BRA,GK,33-298,90,41,35,41,0,0,0,41,0,0,,0,,22,101,73,0,0,0,0,0,16,0
16,16 Players,,,,,990,566,95,288,200,80,13,566,14,7,50.0,7,50.0,308,1144,656,6,5,1,15,15,352,21
