,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2016-08-13,15:00 ,Premier League,Matchweek 1,Sat,Home,L,0,1,West Brom,62,"24,490",Scott Dann,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/71e8ff6e/Crystal-Palace-West-Bromwich-Albion-August-13-2016-Premier-League,
1,2016-08-20,15:00 ,Premier League,Matchweek 2,Sat,Away,L,0,1,Tottenham,43,"31,447",Scott Dann,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/be3e02db/Tottenham-Hotspur-Crystal-Palace-August-20-2016-Premier-League,
3,2016-08-27,15:00 ,Premier League,Matchweek 3,Sat,Home,D,1,1,Bournemouth,59,"23,503",Scott Dann,4-4-1-1,Mike Dean,https://fbref.com/en/matches/4b134305/Crystal-Palace-Bournemouth-August-27-2016-Premier-League,
4,2016-09-10,15:00 ,Premier League,Matchweek 4,Sat,Away,W,2,1,Middlesbrough,42,"30,551",Scott Dann,4-2-3-1,Niel Swarbrick,https://fbref.com/en/matches/460cc0d3/Middlesbrough-Crystal-Palace-September-10-2016-Premier-League,
5,2016-09-18,14:15 ,Premier League,Matchweek 5,Sun,Home,W,4,1,Stoke City,57,"23,781",Scott Dann,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/41d0fbe4/Crystal-Palace-Stoke-City-September-18-2016-Premier-League,
7,2016-09-24,15:00 ,Premier League,Matchweek 6,Sat,Away,W,3,2,Sunderland,55,"38,941",Damien Delaney,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/a4b57066/Sunderland-Crystal-Palace-September-24-2016-Premier-League,
8,2016-09-30,20:00 ,Premier League,Matchweek 7,Fri,Away,D,1,1,Everton,43,"38,758",Damien Delaney,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/54633ab1/Everton-Crystal-Palace-September-30-2016-Premier-League,
9,2016-10-15,17:30 ,Premier League,Matchweek 8,Sat,Home,L,0,1,West Ham,55,"25,643",Damien Delaney,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/608d7dd6/Crystal-Palace-West-Ham-United-October-15-2016-Premier-League,
10,2016-10-22,15:00 ,Premier League,Matchweek 9,Sat,Away,L,1,3,Leicester City,55,"31,969",Damien Delaney,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/1242968f/Leicester-City-Crystal-Palace-October-22-2016-Premier-League,
11,2016-10-29,17:30 ,Premier League,Matchweek 10,Sat,Home,L,2,4,Liverpool,45,"25,628",Scott Dann,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/c1873b0b/Crystal-Palace-Liverpool-October-29-2016-Premier-League,
12,2016-11-05,15:00 ,Premier League,Matchweek 11,Sat,Away,L,2,3,Burnley,62,"19,196",Scott Dann,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/5ca938b4/Burnley-Crystal-Palace-November-5-2016-Premier-League,
13,2016-11-19,15:00 ,Premier League,Matchweek 12,Sat,Home,L,1,2,Manchester City,38,"25,529",Scott Dann,4-2-3-1,Robert Madley,https://fbref.com/en/matches/0713dea0/Crystal-Palace-Manchester-City-November-19-2016-Premier-League,
14,2016-11-26,15:00 ,Premier League,Matchweek 13,Sat,Away,L,4,5,Swansea City,44,"20,276",Scott Dann,4-4-2,Kevin Friend,https://fbref.com/en/matches/99cbc7fa/Swansea-City-Crystal-Palace-November-26-2016-Premier-League,
15,2016-12-03,15:00 ,Premier League,Matchweek 14,Sat,Home,W,3,0,Southampton,42,"25,393",Scott Dann,4-2-3-1,Niel Swarbrick,https://fbref.com/en/matches/172a9a1a/Crystal-Palace-Southampton-December-3-2016-Premier-League,
16,2016-12-10,15:00 ,Premier League,Matchweek 15,Sat,Away,D,3,3,Hull City,43,"17,403",Scott Dann,4-2-3-1,Mike Jones,https://fbref.com/en/matches/247883d2/Hull-City-Crystal-Palace-December-10-2016-Premier-League,
17,2016-12-14,20:00 ,Premier League,Matchweek 16,Wed,Home,L,1,2,Manchester Utd,39,"25,547",Scott Dann,4-4-2,Craig Pawson,https://fbref.com/en/matches/46ad94b6/Crystal-Palace-Manchester-United-December-14-2016-Premier-League,
18,2016-12-17,12:30 ,Premier League,Matchweek 17,Sat,Home,L,0,1,Chelsea,54,"25,259",Scott Dann,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/613249e9/Crystal-Palace-Chelsea-December-17-2016-Premier-League,
19,2016-12-26,12:30 ,Premier League,Matchweek 18,Mon,Away,D,1,1,Watford,44,"20,304",Scott Dann,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/d275e513/Watford-Crystal-Palace-December-26-2016-Premier-League,
20,2017-01-01,16:00 ,Premier League,Matchweek 19,Sun,Away,L,0,2,Arsenal,36,"59,975",Scott Dann,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/b0f63c70/Arsenal-Crystal-Palace-January-1-2017-Premier-League,
21,2017-01-03,20:00 ,Premier League,Matchweek 20,Tue,Home,L,1,2,Swansea City,47,"24,913",Damien Delaney,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/b213df24/Crystal-Palace-Swansea-City-January-3-2017-Premier-League,
23,2017-01-14,15:00 ,Premier League,Matchweek 21,Sat,Away,L,0,3,West Ham,56,"56,984",Scott Dann,4-2-3-1,Niel Swarbrick,https://fbref.com/en/matches/faf2b6c2/West-Ham-United-Crystal-Palace-January-14-2017-Premier-League,
25,2017-01-21,15:00 ,Premier League,Matchweek 22,Sat,Home,L,0,1,Everton,44,"25,594",Scott Dann,3-4-1-2,Anthony Taylor,https://fbref.com/en/matches/c89c1cde/Crystal-Palace-Everton-January-21-2017-Premier-League,
27,2017-01-31,19:45 ,Premier League,Matchweek 23,Tue,Away,W,2,0,Bournemouth,35,"11,286",Scott Dann,3-4-3,Jonathan Moss,https://fbref.com/en/matches/ade92591/Bournemouth-Crystal-Palace-January-31-2017-Premier-League,
28,2017-02-04,15:00 ,Premier League,Matchweek 24,Sat,Home,L,0,4,Sunderland,65,"25,310",Scott Dann,3-4-3,Andre Marriner,https://fbref.com/en/matches/501e50db/Crystal-Palace-Sunderland-February-4-2017-Premier-League,
29,2017-02-11,15:00 ,Premier League,Matchweek 25,Sat,Away,L,0,1,Stoke City,43,"27,007",Damien Delaney,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/c91837f4/Stoke-City-Crystal-Palace-February-11-2017-Premier-League,
30,2017-02-25,15:00 ,Premier League,Matchweek 26,Sat,Home,W,1,0,Middlesbrough,46,"25,416",Jason Puncheon,4-1-4-1,Robert Madley,https://fbref.com/en/matches/a9746a6f/Crystal-Palace-Middlesbrough-February-25-2017-Premier-League,
31,2017-03-04,15:00 ,Premier League,Matchweek 27,Sat,Away,W,2,0,West Brom,49,"24,051",Jason Puncheon,4-2-3-1,Mike Jones,https://fbref.com/en/matches/80c3d431/West-Bromwich-Albion-Crystal-Palace-March-4-2017-Premier-League,
32,2017-03-18,15:00 ,Premier League,Matchweek 29,Sat,Home,W,1,0,Watford,44,"25,109",Jason Puncheon,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/5280c1f6/Crystal-Palace-Watford-March-18-2017-Premier-League,
33,2017-04-01,15:00 ,Premier League,Matchweek 30,Sat,Away,W,2,1,Chelsea,27,"41,489",Jason Puncheon,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/ec549f90/Chelsea-Crystal-Palace-April-1-2017-Premier-League,
34,2017-04-05,19:45 ,Premier League,Matchweek 31,Wed,Away,L,1,3,Southampton,39,"29,968",Jason Puncheon,4-2-3-1,Roger East,https://fbref.com/en/matches/997a77b5/Southampton-Crystal-Palace-April-5-2017-Premier-League,
35,2017-04-10,20:00 ,Premier League,Matchweek 32,Mon,Home,W,3,0,Arsenal,28,"25,648",Jason Puncheon,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/78f9825c/Crystal-Palace-Arsenal-April-10-2017-Premier-League,
36,2017-04-15,15:00 ,Premier League,Matchweek 33,Sat,Home,D,2,2,Leicester City,58,"25,504",Jason Puncheon,4-2-3-1,Mike Dean,https://fbref.com/en/matches/1462a754/Crystal-Palace-Leicester-City-April-15-2017-Premier-League,
37,2017-04-23,16:30 ,Premier League,Matchweek 34,Sun,Away,W,2,1,Liverpool,28,"53,086",Jason Puncheon,4-1-4-1,Andre Marriner,https://fbref.com/en/matches/923da140/Liverpool-Crystal-Palace-April-23-2017-Premier-League,
38,2017-04-26,20:00 ,Premier League,Matchweek 28,Wed,Home,L,0,1,Tottenham,32,"25,596",Jason Puncheon,4-1-4-1,Jonathan Moss,https://fbref.com/en/matches/fcdd2c59/Crystal-Palace-Tottenham-Hotspur-April-26-2017-Premier-League,
