,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Frédéric Piquionne,,fr FRA,FW,31-326,72,0,0,0,,,,0,0,,,,,,,0,,
1,Carlton Cole,,eng ENG,FW,27-018,18,0,0,0,,,,0,0,,,,,,,0,,
2,Victor Obinna,,ng NGA,FW,23-219,86,0,0,0,,,,0,0,,,,,,,0,,
3,Julien Faubert,,fr FRA,"DF,FW",27-090,4,0,0,0,,,,0,0,,,,,,,0,,
4,Valon Behrami,,ch SUI,"DF,MF",25-194,89,0,0,0,,,,0,0,,,,,,,0,,
5,Pablo Barrera,,mx MEX,"FW,MF",23-131,1,0,0,0,,,,0,0,,,,,,,0,,
6,Luís Boa Morte,,pt POR,"FW,MF",33-087,90,0,0,0,,,,1,0,,,,,,,0,,
7,Mark Noble,,eng ENG,MF,23-175,90,0,0,0,,,,0,0,,,,,,,0,,
8,Scott Parker,,eng ENG,MF,30-017,90,0,0,0,,,,0,0,,,,,,,0,,
9,Hérita Ilunga,,cd COD,DF,28-247,90,0,0,0,,,,1,0,,,,,,,0,,
10,Danny Gabbidon,,wls WAL,DF,31-083,90,0,0,0,,,,0,0,,,,,,,0,,
11,Manuel da Costa,,ma MAR,DF,24-177,90,0,0,0,,,,0,0,,,,,,,0,,
12,Lars Jacobsen,,dk DEN,DF,31-040,90,0,0,0,,,,0,0,,,,,,,0,,
13,Robert Green,,eng ENG,GK,30-285,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,0,0,0,,,,2,0,,,,,,,0,,
