,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Darren Bent,,eng ENG,FW,27-105,90,0,0,0,,,,0,0,,,,,,,0,,
1,Stewart Downing,,eng ENG,"FW,MF",26-304,90,1,0,0,,,,0,0,,,,,,,0,,
2,Ashley Young,,eng ENG,"DF,FW",25-317,88,0,0,0,,,,0,0,,,,,,,0,,
3,Michael Bradley,,us USA,"DF,MF",23-295,2,0,0,0,,,,0,0,,,,,,,0,,
4,Stiliyan Petrov,,bg BUL,MF,31-321,90,0,0,0,,,,0,0,,,,,,,0,,
5,Fabian Delph,,eng ENG,"DF,MF",21-182,27,0,0,0,,,,0,0,,,,,,,0,,
6,Marc Albrighton,,eng ENG,"DF,FW",21-185,63,0,1,0,,,,0,0,,,,,,,0,,
7,Nigel Reo-Coker,,eng ENG,MF,27-008,67,0,0,0,,,,1,0,,,,,,,0,,
8,Gabriel Agbonlahor,,eng ENG,"FW,MF",24-221,23,0,0,0,,,,0,0,,,,,,,0,,
9,Luke Young,,eng ENG,DF,31-307,90,0,0,0,,,,0,0,,,,,,,0,,
10,Richard Dunne,,ie IRL,DF,31-243,90,0,0,0,,,,0,0,,,,,,,0,,
11,James Collins,,wls WAL,DF,27-272,90,0,0,0,,,,0,0,,,,,,,0,,
12,Kyle Walker,,eng ENG,"DF,MF",20-359,90,0,0,0,,,,1,0,,,,,,,0,,
13,Brad Friedel,,us USA,GK,40-004,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,1,1,0,,,,2,0,,,,,,,0,,
