,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-07,16:30 ,Premier League,Matchweek 1,Sun,Home,L,0,2,Manchester City,0.5,2.2,25,"62,443",Declan Rice,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/ece62baf/West-Ham-United-Manchester-City-August-7-2022-Premier-League,
1,2022-08-14,14:00 ,Premier League,Matchweek 2,Sun,Away,L,0,1,Nott'ham Forest,2.1,1.3,57,"29,281",Declan Rice,4-3-3,Robert Jones,https://fbref.com/en/matches/b1ebeda5/Nottingham-Forest-West-Ham-United-August-14-2022-Premier-League,
3,2022-08-21,14:00 ,Premier League,Matchweek 3,Sun,Home,L,0,2,Brighton,0.8,1.7,50,"62,449",Declan Rice,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/aa2a3517/West-Ham-United-Brighton-and-Hove-Albion-August-21-2022-Premier-League,
5,2022-08-28,14:00 ,Premier League,Matchweek 4,Sun,Away,W,1,0,Aston Villa,0.6,0.5,42,"41,796",Declan Rice,3-5-2,David Coote,https://fbref.com/en/matches/659b9113/Aston-Villa-West-Ham-United-August-28-2022-Premier-League,
6,2022-08-31,19:45 ,Premier League,Matchweek 5,Wed,Home,D,1,1,Tottenham,1.2,0.6,39,"62,450",Declan Rice,4-2-3-1,Peter Bankes,https://fbref.com/en/matches/9f221621/West-Ham-United-Tottenham-Hotspur-August-31-2022-Premier-League,
7,2022-09-03,15:00 ,Premier League,Matchweek 6,Sat,Away,L,1,2,Chelsea,1.1,0.9,33,"39,923",Declan Rice,3-4-1-2,Andy Madley,https://fbref.com/en/matches/d7642197/Chelsea-West-Ham-United-September-3-2022-Premier-League,
10,2022-09-18,14:15 ,Premier League,Matchweek 8,Sun,Away,L,0,1,Everton,1.0,0.4,47,"39,298",Declan Rice,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/96e9dc0f/Everton-West-Ham-United-September-18-2022-Premier-League,
11,2022-10-01,17:30 ,Premier League,Matchweek 9,Sat,Home,W,2,0,Wolves,0.9,0.7,39,"62,444",Declan Rice,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/89ff6cd8/West-Ham-United-Wolverhampton-Wanderers-October-1-2022-Premier-League,
13,2022-10-09,14:00 ,Premier League,Matchweek 10,Sun,Home,W,3,1,Fulham,2.4,0.7,50,"62,407",Declan Rice,4-2-3-1,Chris Kavanagh,https://fbref.com/en/matches/42e38f9d/West-Ham-United-Fulham-October-9-2022-Premier-League,
15,2022-10-16,14:00 ,Premier League,Matchweek 11,Sun,Away,D,1,1,Southampton,1.7,0.5,61,"29,159",Declan Rice,3-4-3,Peter Bankes,https://fbref.com/en/matches/2f5adfad/Southampton-West-Ham-United-October-16-2022-Premier-League,
16,2022-10-19,19:30 ,Premier League,Matchweek 12,Wed,Away,L,0,1,Liverpool,1.7,1.7,46,"52,982",Declan Rice,4-4-2,Stuart Attwell,https://fbref.com/en/matches/dba5c5ec/Liverpool-West-Ham-United-October-19-2022-Premier-League,
17,2022-10-24,20:00 ,Premier League,Matchweek 13,Mon,Home,W,2,0,Bournemouth,1.9,0.4,55,"62,447",Declan Rice,4-2-3-1,David Coote,https://fbref.com/en/matches/e9d1a18b/West-Ham-United-Bournemouth-October-24-2022-Premier-League,
19,2022-10-30,16:15 ,Premier League,Matchweek 14,Sun,Away,L,0,1,Manchester Utd,1.1,1.2,47,"73,682",Declan Rice,4-2-3-1,Chris Kavanagh,https://fbref.com/en/matches/cd0f59f6/Manchester-United-West-Ham-United-October-30-2022-Premier-League,
21,2022-11-06,14:00 ,Premier League,Matchweek 15,Sun,Home,L,1,2,Crystal Palace,0.3,1.0,42,"62,451",Declan Rice,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/2586fb04/West-Ham-United-Crystal-Palace-November-6-2022-Premier-League,
23,2022-11-12,15:00 ,Premier League,Matchweek 16,Sat,Home,L,0,2,Leicester City,1.4,1.8,54,"62,459",Declan Rice,4-2-3-1,Jarred Gillett,https://fbref.com/en/matches/6e89557a/West-Ham-United-Leicester-City-November-12-2022-Premier-League,
24,2022-12-26,20:00 ,Premier League,Matchweek 17,Mon,Away,L,1,3,Arsenal,1.0,2.1,34,"60,125",Declan Rice,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/3be32b8b/Arsenal-West-Ham-United-December-26-2022-Premier-League,
25,2022-12-30,19:45 ,Premier League,Matchweek 18,Fri,Home,L,0,2,Brentford,1.3,1.6,63,"62,467",Declan Rice,3-4-3,Darren England,https://fbref.com/en/matches/56acbbbe/West-Ham-United-Brentford-December-30-2022-Premier-League,
26,2023-01-04,19:45 ,Premier League,Matchweek 19,Wed,Away,D,2,2,Leeds United,1.4,1.6,38,"36,173",Declan Rice,4-3-3,David Coote,https://fbref.com/en/matches/068406dc/Leeds-United-West-Ham-United-January-4-2023-Premier-League,
28,2023-01-14,15:00 ,Premier League,Matchweek 20,Sat,Away,L,0,1,Wolves,1.1,0.9,42,"31,511",Declan Rice,4-3-3,Simon Hooper,https://fbref.com/en/matches/20fbd1a1/Wolverhampton-Wanderers-West-Ham-United-January-14-2023-Premier-League,
29,2023-01-21,15:00 ,Premier League,Matchweek 21,Sat,Home,W,2,0,Everton,2.2,0.5,33,"62,470",Declan Rice,3-4-3,Stuart Attwell,https://fbref.com/en/matches/db9cdba8/West-Ham-United-Everton-January-21-2023-Premier-League,
31,2023-02-04,17:30 ,Premier League,Matchweek 22,Sat,Away,D,1,1,Newcastle Utd,1.0,1.0,38,"52,256",Declan Rice,3-4-3,Peter Bankes,https://fbref.com/en/matches/34e9160c/Newcastle-United-West-Ham-United-February-4-2023-Premier-League,
32,2023-02-11,12:30 ,Premier League,Matchweek 23,Sat,Home,D,1,1,Chelsea,1.3,1.1,29,"62,471",Declan Rice,3-4-3,Craig Pawson,https://fbref.com/en/matches/18dea268/West-Ham-United-Chelsea-February-11-2023-Premier-League,
33,2023-02-19,16:30 ,Premier League,Matchweek 24,Sun,Away,L,0,2,Tottenham,0.5,1.5,43,"61,476",Declan Rice,3-4-3,Michael Oliver,https://fbref.com/en/matches/aae66d3d/Tottenham-Hotspur-West-Ham-United-February-19-2023-Premier-League,
34,2023-02-25,15:00 ,Premier League,Matchweek 25,Sat,Home,W,4,0,Nott'ham Forest,2.7,0.4,49,"62,469",Declan Rice,4-3-3,Jarred Gillett,https://fbref.com/en/matches/767981c6/West-Ham-United-Nottingham-Forest-February-25-2023-Premier-League,
36,2023-03-04,15:00 ,Premier League,Matchweek 26,Sat,Away,L,0,4,Brighton,0.3,3.5,35,"31,523",Declan Rice,4-2-3-1,Stuart Attwell,https://fbref.com/en/matches/bee059c4/Brighton-and-Hove-Albion-West-Ham-United-March-4-2023-Premier-League,
38,2023-03-12,14:00 ,Premier League,Matchweek 27,Sun,Home,D,1,1,Aston Villa,2.1,1.5,41,"62,472",Declan Rice,4-1-4-1,Chris Kavanagh,https://fbref.com/en/matches/df6f054e/West-Ham-United-Aston-Villa-March-12-2023-Premier-League,
40,2023-04-02,14:00 ,Premier League,Matchweek 29,Sun,Home,W,1,0,Southampton,1.4,0.3,43,"62,498",Declan Rice,4-3-3,Paul Tierney,https://fbref.com/en/matches/42e1f38d/West-Ham-United-Southampton-April-2-2023-Premier-League,
41,2023-04-05,20:00 ,Premier League,Matchweek 7,Wed,Home,L,1,5,Newcastle Utd,1.0,3.3,42,"62,481",Declan Rice,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/4a87012d/West-Ham-United-Newcastle-United-April-5-2023-Premier-League,
42,2023-04-08,15:00 ,Premier League,Matchweek 30,Sat,Away,W,1,0,Fulham,1.1,0.7,24,"24,491",Declan Rice,4-4-2,Jarred Gillett,https://fbref.com/en/matches/0ba42648/Fulham-West-Ham-United-April-8-2023-Premier-League,
44,2023-04-16,14:00 ,Premier League,Matchweek 31,Sun,Home,D,2,2,Arsenal,1.8,2.7,30,"62,481",Declan Rice,4-3-3,David Coote,https://fbref.com/en/matches/3120ba0d/West-Ham-United-Arsenal-April-16-2023-Premier-League,
46,2023-04-23,14:00 ,Premier League,Matchweek 32,Sun,Away,W,4,0,Bournemouth,2.4,1.5,36,"10,465",Declan Rice,4-3-3,Anthony Taylor,https://fbref.com/en/matches/3306d30f/Bournemouth-West-Ham-United-April-23-2023-Premier-League,
47,2023-04-26,19:45 ,Premier League,Matchweek 33,Wed,Home,L,1,2,Liverpool,0.8,1.9,28,"62,473",Declan Rice,4-2-3-1,Chris Kavanagh,https://fbref.com/en/matches/f2f795ae/West-Ham-United-Liverpool-April-26-2023-Premier-League,
48,2023-04-29,12:30 ,Premier League,Matchweek 34,Sat,Away,L,3,4,Crystal Palace,1.7,2.1,41,"25,148",Declan Rice,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/4ec72d3b/Crystal-Palace-West-Ham-United-April-29-2023-Premier-League,
49,2023-05-03,20:00 ,Premier League,Matchweek 28,Wed,Away,L,0,3,Manchester City,0.4,2.3,31,"53,305",Aaron Cresswell,4-2-3-1,John Brooks,https://fbref.com/en/matches/fccab6ff/Manchester-City-West-Ham-United-May-3-2023-Premier-League,
50,2023-05-07,19:00 ,Premier League,Matchweek 35,Sun,Home,W,1,0,Manchester Utd,1.3,1.2,35,"62,477",Declan Rice,4-2-3-1,Peter Bankes,https://fbref.com/en/matches/98f0c145/West-Ham-United-Manchester-United-May-7-2023-Premier-League,
52,2023-05-14,14:00 ,Premier League,Matchweek 36,Sun,Away,L,0,2,Brentford,0.2,3.4,47,"17,075",Angelo Ogbonna,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/9a41c925/Brentford-West-Ham-United-May-14-2023-Premier-League,
54,2023-05-21,13:30 ,Premier League,Matchweek 37,Sun,Home,W,3,1,Leeds United,2.1,0.9,59,"62,478",Declan Rice,4-2-3-1,Peter Bankes,https://fbref.com/en/matches/0359c7d5/West-Ham-United-Leeds-United-May-21-2023-Premier-League,
55,2023-05-28,16:30 ,Premier League,Matchweek 38,Sun,Away,L,1,2,Leicester City,1.4,1.4,52,"32,183",Declan Rice,4-2-3-1,Simon Hooper,https://fbref.com/en/matches/a96c9915/Leicester-City-West-Ham-United-May-28-2023-Premier-League,
