,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Benjani,,zw ZIM,FW,32-085,31,0,0,0,,,,0,0,,,,,,,0,,
1,Jason Roberts,,gd GRN,FW,32-285,59,1,0,0,,,,0,0,,,,,,,0,,
2,El Hadji Diouf,,sn SEN,"FW,MF",29-295,85,0,0,0,,,,0,0,,,,,,,0,,
3,Pascal Chimbonda,,fr FRA,DF,31-258,5,0,0,0,,,,0,0,,,,,,,0,,
4,Morten Gamst Pedersen,,no NOR,"FW,MF",29-059,90,1,0,0,,,,0,0,,,,,,,0,,
5,Brett Emerton,,au AUS,"DF,MF",31-257,90,0,1,0,,,,0,0,,,,,,,0,,
6,Mame Biram Diouf,,sn SEN,"FW,MF",22-325,45,0,0,0,,,,0,0,,,,,,,0,,
7,David Dunn,,eng ENG,MF,30-314,45,0,0,0,,,,0,0,,,,,,,0,,
8,Phil Jones,,eng ENG,"DF,MF",18-258,90,0,0,0,,,,0,0,,,,,,,0,,
9,Gaël Givet,,fr FRA,DF,29-028,90,0,0,0,,,,0,0,,,,,,,0,,
10,Ryan Nelsen,,nz NZL,DF,33-019,90,0,0,0,,,,0,0,,,,,,,0,,
11,Christopher Samba,,cg CGO,DF,26-223,90,0,0,0,,,,0,0,,,,,,,0,,
12,Míchel Salgado,,es ESP,DF,35-015,90,0,0,0,,,,0,0,,,,,,,0,,
13,Paul Robinson,,eng ENG,GK,31-022,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,2,1,0,,,,0,0,,,,,,,0,,
