,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2010-08-14,,Premier League,Matchweek 1,Sat,Away,L,1,2,Wolves,,"27,850",,4-4-2,Lee Probert,https://fbref.com/en/matches/773a48cc/Wolverhampton-Wanderers-Stoke-City-August-14-2010-Premier-League,
1,2010-08-21,,Premier League,Matchweek 2,Sat,Home,L,1,2,Tottenham,,"27,243",,4-4-2,Chris Foy,https://fbref.com/en/matches/deb91f1b/Stoke-City-Tottenham-Hotspur-August-21-2010-Premier-League,
2,2010-08-28,,Premier League,Matchweek 3,Sat,Away,L,0,2,Chelsea,,"40,931",,5-3-2,Martin Atkinson,https://fbref.com/en/matches/29f3da86/Chelsea-Stoke-City-August-28-2010-Premier-League,
3,2010-09-13,,Premier League,Matchweek 4,Mon,Home,W,2,1,Aston Villa,,"25,899",,4-4-2,Lee Probert,https://fbref.com/en/matches/9c1cc5cb/Stoke-City-Aston-Villa-September-13-2010-Premier-League,
4,2010-09-18,,Premier League,Matchweek 5,Sat,Home,D,1,1,West Ham,,"27,028",,4-4-2,Lee Mason,https://fbref.com/en/matches/2cbbe4f8/Stoke-City-West-Ham-United-September-18-2010-Premier-League,
5,2010-09-26,,Premier League,Matchweek 6,Sun,Away,W,2,1,Newcastle Utd,,"41,915",,4-4-1-1,Mike Jones,https://fbref.com/en/matches/5cbaca1f/Newcastle-United-Stoke-City-September-26-2010-Premier-League,
6,2010-10-02,,Premier League,Matchweek 7,Sat,Home,W,1,0,Blackburn,,"25,515",,4-4-2,Howard Webb,https://fbref.com/en/matches/9d172182/Stoke-City-Blackburn-Rovers-October-2-2010-Premier-League,
7,2010-10-16,,Premier League,Matchweek 8,Sat,Away,L,1,2,Bolton,,"22,975",,4-4-2,Peter Walton,https://fbref.com/en/matches/980e2903/Bolton-Wanderers-Stoke-City-October-16-2010-Premier-League,
8,2010-10-24,,Premier League,Matchweek 9,Sun,Home,L,1,2,Manchester Utd,,"27,372",,4-4-1-1,Andre Marriner,https://fbref.com/en/matches/c1301679/Stoke-City-Manchester-United-October-24-2010-Premier-League,
9,2010-10-30,,Premier League,Matchweek 10,Sat,Away,L,0,1,Everton,,"35,513",,4-4-2,Lee Probert,https://fbref.com/en/matches/d6dfdd2a/Everton-Stoke-City-October-30-2010-Premier-League,
10,2010-11-06,,Premier League,Matchweek 11,Sat,Away,L,0,2,Sunderland,,"36,541",,4-4-1-1,Martin Atkinson,https://fbref.com/en/matches/1ec17813/Sunderland-Stoke-City-November-6-2010-Premier-League,
11,2010-11-09,,Premier League,Matchweek 12,Tue,Home,W,3,2,Birmingham City,,"26,381",,4-4-2,Mark Clattenburg,https://fbref.com/en/matches/3a885a2e/Stoke-City-Birmingham-City-November-9-2010-Premier-League,
12,2010-11-13,,Premier League,Matchweek 13,Sat,Home,W,2,0,Liverpool,,"27,286",,4-4-2,Mark Halsey,https://fbref.com/en/matches/efd04e4f/Stoke-City-Liverpool-November-13-2010-Premier-League,
13,2010-11-20,,Premier League,Matchweek 14,Sat,Away,W,3,0,West Brom,,"24,164",,4-4-2,Chris Foy,https://fbref.com/en/matches/a3c3cef8/West-Bromwich-Albion-Stoke-City-November-20-2010-Premier-League,
14,2010-11-27,,Premier League,Matchweek 15,Sat,Home,D,1,1,Manchester City,,"27,405",,4-4-2,Peter Walton,https://fbref.com/en/matches/56b32943/Stoke-City-Manchester-City-November-27-2010-Premier-League,
15,2010-12-04,,Premier League,Matchweek 16,Sat,Away,D,2,2,Wigan Athletic,,"15,100",,4-4-2,Mike Jones,https://fbref.com/en/matches/3af70371/Wigan-Athletic-Stoke-City-December-4-2010-Premier-League,
16,2010-12-11,,Premier League,Matchweek 17,Sat,Home,L,0,1,Blackpool,,"26,879",,4-4-2,Anthony Taylor,https://fbref.com/en/matches/1701f975/Stoke-City-Blackpool-December-11-2010-Premier-League,
