,num,joueur
0,3,Gaëtan Bong
1,5,Lewis Dunk
2,6,Dale Stephens
3,11,Anthony Knockaert
4,13,Pascal Groß
5,16,Leonardo Ulloa
6,19,José Izquierdo
7,22,Shane Duffy
8,24,Davy Pröpper
9,,
10,26,Tim Krul
