,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Shot Stopping,Shot Stopping,Shot Stopping,Shot Stopping
,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
0,Thibaut Courtois,be BEL,24-136,90,5,3,2,40.0
