,num,joueur
0,,Victor Moses
1,,Jordi Gómez
2,,Maynor Figueroa
3,,Mohamed Diamé
4,,James McCarthy
5,,Gary Caldwell
6,,David Jones
7,,Steve Gohouri
8,,Conor Sammon
9,,
10,,Mike Pollitt
