,num,joueur
0,,Heurelho Gomes
1,,Jermaine Jenas
2,,Roman Pavlyuchenko
3,,Gareth Bale
4,,Benoît Assou-Ekotto
5,,Peter Crouch
6,,Alan Hutton
7,,Luka Modrić
8,,Rafael van der Vaart
9,,Younès Kaboul
10,,William Gallas
