,num,joueur
0,,Leon Osman
1,,Marouane Fellaini
2,,Steven Pienaar
3,,Phil Neville
4,,Phil Jagielka
5,,Nikica Jelavić
6,,Séamus Coleman
7,,Sylvain Distin
8,,Steven Naismith
9,,
10,,Ján Mucha
