,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Bobby Zamora,,eng ENG,FW,30-119,49,0,0,0,,,,0,0,,,,,,,0,,
1,Eiður Guðjohnsen,,is ISL,"FW,MF",32-242,41,0,0,0,,,,1,0,,,,,,,0,,
2,Andrew Johnson,,eng ENG,FW,30-094,90,0,0,0,,,,1,0,,,,,,,0,,
3,Jonathan Greening,,eng ENG,MF,32-133,90,0,1,0,,,,0,0,,,,,,,0,,
4,Danny Murphy,,eng ENG,MF,34-058,70,0,0,0,,,,1,0,,,,,,,0,,
5,Dickson Etuhu,,ng NGA,MF,28-341,20,0,0,0,,,,0,0,,,,,,,0,,
6,Steve Sidwell,,eng ENG,MF,28-152,90,0,0,0,,,,0,0,,,,,,,0,,
7,Clint Dempsey,,us USA,"FW,MF",28-067,88,0,0,0,,,,1,0,,,,,,,0,,
8,Zoltán Gera,,hu HUN,MF,32-023,2,0,0,0,,,,0,0,,,,,,,0,,
9,Carlos Salcido,,mx MEX,"DF,MF",31-043,90,0,0,0,,,,1,0,,,,,,,0,,
10,Brede Hangeland,,no NOR,DF,29-329,90,2,0,0,,,,0,0,,,,,,,0,,
11,Philippe Senderos,,ch SUI,DF,26-090,90,0,0,0,,,,0,0,,,,,,,0,,
12,Aaron Hughes,,nir NIR,DF,31-188,90,0,0,0,,,,0,0,,,,,,,0,,
13,Mark Schwarzer,,au AUS,GK,38-221,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,2,1,0,,,,5,0,,,,,,,0,,
