,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Matt Derbyshire,,eng ENG,FW,25-031,90,0,0,0,,,,0,0,,,,,,,0,,
1,Kevin Phillips,,eng ENG,FW,37-294,90,0,0,0,,,,0,0,,,,,,,0,,
2,David Bentley,,eng ENG,MF,26-261,90,0,0,0,,,,0,0,,,,,,,0,,
3,Lee Bowyer,,eng ENG,MF,34-132,49,0,0,0,,,,0,0,,,,,,,0,,
4,Alexander Hleb,,by BLR,MF,30-014,41,0,0,0,,,,0,0,,,,,,,0,,
5,Barry Ferguson,,sct SCO,MF,33-102,90,0,0,0,,,,0,0,,,,,,,0,,
6,Sebastian Larsson,,se SWE,MF,25-343,90,0,0,0,,,,0,0,,,,,,,0,,
7,Stuart Parnaby,,eng ENG,DF,28-300,55,0,0,0,,,,0,0,,,,,,,0,,
8,Jean Beausejour,,cl CHI,"DF,FW",26-348,35,0,0,0,,,,0,0,,,,,,,0,,
9,Roger Johnson,,eng ENG,DF,28-017,90,0,0,0,,,,0,0,,,,,,,0,,
10,Martin Jiránek,,cz CZE,DF,31-355,66,0,0,0,,,,0,0,,,,,,,0,,
11,Curtis Davies,,eng ENG,DF,26-061,24,0,0,0,,,,0,0,,,,,,,0,,
12,Stephen Carr,,ie IRL,DF,34-259,90,0,0,0,,,,0,0,,,,,,,0,,
13,Ben Foster,,eng ENG,GK,28-042,90,0,0,0,,,,0,0,,,,,,,0,,
14,14 Players,,,,,990,0,0,0,,,,0,0,,,,,,,0,,
