,num,joueur
0,31,Daniel Iversen
1,3,Wout Faes
2,7,Harvey Barnes
3,10,James Maddison
4,15,Harry Souttar
5,16,Victor Bernth Kristiansen
6,20,Patson Daka
7,22,Kiernan Dewsbury-Hall
8,25,Wilfred Ndidi
9,27,Timothy Castagne
10,37,Tetê
