,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Nikola Kalinić,,hr CRO,FW,22-221,59,1,0,0,,,,0,0,,,,,,,0,,
1,Mame Biram Diouf,,sn SEN,"FW,MF",22-241,31,0,0,0,,,,0,0,,,,,,,0,,
2,Martin Olsson,,se SWE,"DF,MF",22-089,90,0,0,0,,,,0,0,,,,,,,0,,
3,Morten Gamst Pedersen,,no NOR,"FW,MF",28-340,90,0,0,0,,,,1,0,,,,,,,0,,
4,David Dunn,,eng ENG,MF,30-230,8,0,0,0,,,,0,0,,,,,,,0,,
5,Steven Nzonzi,,fr FRA,MF,21-242,82,0,0,0,,,,0,0,,,,,,,0,,
6,El Hadji Diouf,,sn SEN,"FW,MF",29-211,90,0,0,0,,,,0,0,,,,,,,0,,
7,Phil Jones,,eng ENG,"DF,MF",18-174,90,0,0,0,,,,0,0,,,,,,,0,,
8,Gaël Givet,,fr FRA,DF,28-309,90,0,0,0,,,,0,0,,,,,,,0,,
9,Ryan Nelsen,,nz NZL,DF,32-300,90,0,0,0,,,,0,0,,,,,,,0,,
10,Christopher Samba,,cg CGO,DF,26-139,90,0,0,0,,,,0,0,,,,,,,0,,
11,Míchel Salgado,,es ESP,DF,34-296,90,0,0,0,,,,1,0,,,,,,,0,,
12,Paul Robinson,,eng ENG,GK,30-303,90,0,0,0,,,,0,0,,,,,,,0,,
13,13 Players,,,,,990,1,0,0,,,,2,0,,,,,,,0,,
