,num,joueur
0,,Anthony Pilkington
1,,Robert Snodgrass
2,,Wes Hoolahan
3,,Javier Garrido
4,,Russell Martin
5,,Grant Holt
6,,Sébastien Bassong
7,,Jonny Howson
8,,Michael Turner
9,,
10,,Lee Camp
