,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2011-08-13,,Premier League,Matchweek 1,Sat,Home,D,1,1,Sunderland,,"45,018",,4-4-2,Phil Dowd,https://fbref.com/en/matches/33de6206/Liverpool-Sunderland-August-13-2011-Premier-League,
1,2011-08-20,,Premier League,Matchweek 2,Sat,Away,W,2,0,Arsenal,,"60,090",,4-5-1,Martin Atkinson,https://fbref.com/en/matches/671276c8/Arsenal-Liverpool-August-20-2011-Premier-League,
2,2011-08-27,,Premier League,Matchweek 3,Sat,Home,W,3,1,Bolton,,"44,725",,4-4-2,Lee Probert,https://fbref.com/en/matches/7c22c746/Liverpool-Bolton-Wanderers-August-27-2011-Premier-League,
3,2011-09-10,,Premier League,Matchweek 4,Sat,Away,L,0,1,Stoke City,,"27,592",,4-4-2,Mark Clattenburg,https://fbref.com/en/matches/a660231e/Stoke-City-Liverpool-September-10-2011-Premier-League,
4,2011-09-18,,Premier League,Matchweek 5,Sun,Away,L,0,4,Tottenham,,"36,129",,4-5-1,Mike Jones,https://fbref.com/en/matches/83c313ac/Tottenham-Hotspur-Liverpool-September-18-2011-Premier-League,
5,2011-09-24,,Premier League,Matchweek 6,Sat,Home,W,2,1,Wolves,,"44,922",,4-4-2,Kevin Friend,https://fbref.com/en/matches/46bc2bb9/Liverpool-Wolverhampton-Wanderers-September-24-2011-Premier-League,
6,2011-10-01,,Premier League,Matchweek 7,Sat,Away,W,2,0,Everton,,"39,510",,4-4-2,Martin Atkinson,https://fbref.com/en/matches/c215b55d/Merseyside-Derby-Everton-Liverpool-October-1-2011-Premier-League,
7,2011-10-15,,Premier League,Matchweek 8,Sat,Home,D,1,1,Manchester Utd,,"45,065",,4-3-3,Andre Marriner,https://fbref.com/en/matches/d8ffba3b/North-West-Derby-Liverpool-Manchester-United-October-15-2011-Premier-League,
8,2011-10-22,,Premier League,Matchweek 9,Sat,Home,D,1,1,Norwich City,,"44,931",,4-4-2,Peter Walton,https://fbref.com/en/matches/19082d2c/Liverpool-Norwich-City-October-22-2011-Premier-League,
9,2011-10-29,,Premier League,Matchweek 10,Sat,Away,W,2,0,West Brom,,"25,522",,4-4-2,Lee Mason,https://fbref.com/en/matches/233ad3fc/West-Bromwich-Albion-Liverpool-October-29-2011-Premier-League,
10,2011-11-05,,Premier League,Matchweek 11,Sat,Home,D,0,0,Swansea City,,"45,013",,4-4-2,Phil Dowd,https://fbref.com/en/matches/b78afefd/Liverpool-Swansea-City-November-5-2011-Premier-League,
11,2011-11-20,,Premier League,Matchweek 12,Sun,Away,W,2,1,Chelsea,,"41,820",,4-4-2,Lee Probert,https://fbref.com/en/matches/0ca669dc/Chelsea-Liverpool-November-20-2011-Premier-League,
12,2011-11-27,,Premier League,Matchweek 13,Sun,Home,D,1,1,Manchester City,,"45,071",,4-1-4-1,Martin Atkinson,https://fbref.com/en/matches/9a50a732/Liverpool-Manchester-City-November-27-2011-Premier-League,
13,2011-12-05,,Premier League,Matchweek 14,Mon,Away,L,0,1,Fulham,,"25,688",,4-3-3,Kevin Friend,https://fbref.com/en/matches/73014eb9/Fulham-Liverpool-December-5-2011-Premier-League,
14,2011-12-10,,Premier League,Matchweek 15,Sat,Home,W,1,0,QPR,,"45,016",,4-4-2,Lee Mason,https://fbref.com/en/matches/4760af99/Liverpool-Queens-Park-Rangers-December-10-2011-Premier-League,
15,2011-12-18,,Premier League,Matchweek 16,Sun,Away,W,2,0,Aston Villa,,"37,460",,4-5-1,Peter Walton,https://fbref.com/en/matches/bcb0b54c/Aston-Villa-Liverpool-December-18-2011-Premier-League,
16,2011-12-21,,Premier League,Matchweek 17,Wed,Away,D,0,0,Wigan Athletic,,"19,230",,4-5-1,Michael Oliver,https://fbref.com/en/matches/ba3d8bd2/Wigan-Athletic-Liverpool-December-21-2011-Premier-League,
17,2011-12-26,,Premier League,Matchweek 18,Mon,Home,D,1,1,Blackburn,,"44,441",,4-4-2,Mike Jones,https://fbref.com/en/matches/118760e5/Liverpool-Blackburn-Rovers-December-26-2011-Premier-League,
18,2011-12-30,,Premier League,Matchweek 19,Fri,Home,W,3,1,Newcastle Utd,,"44,372",,4-5-1,Lee Probert,https://fbref.com/en/matches/bb3d072e/Liverpool-Newcastle-United-December-30-2011-Premier-League,
19,2012-01-03,,Premier League,Matchweek 20,Tue,Away,L,0,3,Manchester City,,"47,131",,4-1-4-1,Andre Marriner,https://fbref.com/en/matches/b144a242/Manchester-City-Liverpool-January-3-2012-Premier-League,
20,2012-01-14,,Premier League,Matchweek 21,Sat,Home,D,0,0,Stoke City,,"44,691",,3-4-3,Howard Webb,https://fbref.com/en/matches/745cc2ab/Liverpool-Stoke-City-January-14-2012-Premier-League,
21,2012-01-21,,Premier League,Matchweek 22,Sat,Away,L,1,3,Bolton,,"26,854",,4-4-2,Kevin Friend,https://fbref.com/en/matches/0582c95d/Bolton-Wanderers-Liverpool-January-21-2012-Premier-League,
22,2012-01-31,,Premier League,Matchweek 23,Tue,Away,W,3,0,Wolves,,"27,447",,4-1-4-1,Anthony Taylor,https://fbref.com/en/matches/b78b3267/Wolverhampton-Wanderers-Liverpool-January-31-2012-Premier-League,
23,2012-02-06,,Premier League,Matchweek 24,Mon,Home,D,0,0,Tottenham,,"44,461",,4-3-3,Michael Oliver,https://fbref.com/en/matches/4f7274cd/Liverpool-Tottenham-Hotspur-February-6-2012-Premier-League,
24,2012-02-11,,Premier League,Matchweek 25,Sat,Away,L,1,2,Manchester Utd,,"74,844",,4-1-4-1,Phil Dowd,https://fbref.com/en/matches/68b86424/North-West-Derby-Manchester-United-Liverpool-February-11-2012-Premier-League,
