,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-06,17:30 ,Premier League,Matchweek 1,Sat,Away,W,1,0,Everton,1.5,0.7,62,"39,254",César Azpilicueta,3-4-3,Craig Pawson,https://fbref.com/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,
1,2022-08-14,16:30 ,Premier League,Matchweek 2,Sun,Home,D,2,2,Tottenham,1.6,1.0,63,"39,946",Jorginho,3-5-2,Anthony Taylor,https://fbref.com/en/matches/01e57bf5/Chelsea-Tottenham-Hotspur-August-14-2022-Premier-League,
2,2022-08-21,14:00 ,Premier League,Matchweek 3,Sun,Away,L,0,3,Leeds United,0.9,2.1,61,"36,372",Jorginho,3-5-2,Stuart Attwell,https://fbref.com/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,
3,2022-08-27,15:00 ,Premier League,Matchweek 4,Sat,Home,W,2,1,Leicester City,1.8,2.5,45,"39,953",Jorginho,4-4-2,Paul Tierney,https://fbref.com/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,
4,2022-08-30,19:45 ,Premier League,Matchweek 5,Tue,Away,L,1,2,Southampton,1.1,1.1,67,"31,542",César Azpilicueta,4-2-2-2,Michael Oliver,https://fbref.com/en/matches/afd303a8/Southampton-Chelsea-August-30-2022-Premier-League,
5,2022-09-03,15:00 ,Premier League,Matchweek 6,Sat,Home,W,2,1,West Ham,0.9,1.1,67,"39,923",Thiago Silva,3-1-4-2,Andy Madley,https://fbref.com/en/matches/d7642197/Chelsea-West-Ham-United-September-3-2022-Premier-League,
8,2022-10-01,15:00 ,Premier League,Matchweek 9,Sat,Away,W,2,1,Crystal Palace,1.1,0.4,64,"25,198",Jorginho,4-2-2-2,Chris Kavanagh,https://fbref.com/en/matches/372249f3/Crystal-Palace-Chelsea-October-1-2022-Premier-League,
10,2022-10-08,15:00 ,Premier League,Matchweek 10,Sat,Home,W,3,0,Wolves,1.9,1.1,57,"39,940",César Azpilicueta,4-2-3-1,Simon Hooper,https://fbref.com/en/matches/c83cb314/Chelsea-Wolverhampton-Wanderers-October-8-2022-Premier-League,
12,2022-10-16,14:00 ,Premier League,Matchweek 11,Sun,Away,W,2,0,Aston Villa,0.9,1.8,58,"41,754",Thiago Silva,3-4-3,Robert Jones,https://fbref.com/en/matches/7113ce7f/Aston-Villa-Chelsea-October-16-2022-Premier-League,
13,2022-10-19,19:30 ,Premier League,Matchweek 12,Wed,Away,D,0,0,Brentford,0.9,1.3,66,"17,118",César Azpilicueta,3-5-1-1,Jarred Gillett,https://fbref.com/en/matches/b7a32aeb/Brentford-Chelsea-October-19-2022-Premier-League,
14,2022-10-22,17:30 ,Premier League,Matchweek 13,Sat,Home,D,1,1,Manchester Utd,1.1,0.8,48,"39,503",César Azpilicueta,3-4-3,Stuart Attwell,https://fbref.com/en/matches/7ad85c8a/Chelsea-Manchester-United-October-22-2022-Premier-League,
16,2022-10-29,15:00 ,Premier League,Matchweek 14,Sat,Away,L,1,4,Brighton,1.4,2.4,59,"31,746",Thiago Silva,3-4-3,Andy Madley,https://fbref.com/en/matches/ac6abad1/Brighton-and-Hove-Albion-Chelsea-October-29-2022-Premier-League,
18,2022-11-06,12:00 ,Premier League,Matchweek 15,Sun,Home,L,0,1,Arsenal,0.3,2.1,45,"40,142",César Azpilicueta,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,
20,2022-11-12,17:30 ,Premier League,Matchweek 16,Sat,Away,L,0,1,Newcastle Utd,0.3,1.0,51,"52,264",César Azpilicueta,3-4-3,Robert Jones,https://fbref.com/en/matches/e1b3eb1b/Newcastle-United-Chelsea-November-12-2022-Premier-League,
21,2022-12-27,17:30 ,Premier League,Matchweek 17,Tue,Home,W,2,0,Bournemouth,1.8,0.5,60,"40,046",Jorginho,4-3-3,Simon Hooper,https://fbref.com/en/matches/d55b9033/Chelsea-Bournemouth-December-27-2022-Premier-League,
22,2023-01-01,16:30 ,Premier League,Matchweek 18,Sun,Away,D,1,1,Nott'ham Forest,0.9,1.4,71,"29,229",César Azpilicueta,4-3-3,Peter Bankes,https://fbref.com/en/matches/c31cf944/Nottingham-Forest-Chelsea-January-1-2023-Premier-League,
23,2023-01-05,20:00 ,Premier League,Matchweek 19,Thu,Home,L,0,1,Manchester City,0.4,2.0,48,"39,998",César Azpilicueta,4-2-3-1,Paul Tierney,https://fbref.com/en/matches/eacda90c/Chelsea-Manchester-City-January-5-2023-Premier-League,
25,2023-01-12,20:00 ,Premier League,Matchweek 7,Thu,Away,L,1,2,Fulham,2.1,1.0,52,"24,460",César Azpilicueta,3-5-2,David Coote,https://fbref.com/en/matches/2902a42d/Fulham-Chelsea-January-12-2023-Premier-League,
26,2023-01-15,14:00 ,Premier League,Matchweek 20,Sun,Home,W,1,0,Crystal Palace,1.5,0.7,61,"40,075",Jorginho,4-2-3-1,Peter Bankes,https://fbref.com/en/matches/564d2893/Chelsea-Crystal-Palace-January-15-2023-Premier-League,
27,2023-01-21,12:30 ,Premier League,Matchweek 21,Sat,Away,D,0,0,Liverpool,1.6,1.4,52,"53,126",Jorginho,3-4-3,Michael Oliver,https://fbref.com/en/matches/7febc290/Liverpool-Chelsea-January-21-2023-Premier-League,
28,2023-02-03,20:00 ,Premier League,Matchweek 22,Fri,Home,D,0,0,Fulham,1.3,0.6,66,"40,041",Thiago Silva,4-3-3,Stuart Attwell,https://fbref.com/en/matches/c3cf244b/Chelsea-Fulham-February-3-2023-Premier-League,
