,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2013-08-17,,Premier League,Matchweek 1,Sat,Away,D,2,2,Norwich City,,"26,824",,4-4-1-1,Michael Oliver,https://fbref.com/en/matches/2c89506c/Norwich-City-Everton-August-17-2013-Premier-League,
1,2013-08-24,,Premier League,Matchweek 2,Sat,Home,D,0,0,West Brom,,"36,410",,4-2-3-1,Roger East,https://fbref.com/en/matches/c0302a3d/Everton-West-Bromwich-Albion-August-24-2013-Premier-League,
2,2013-08-31,,Premier League,Matchweek 3,Sat,Away,D,0,0,Cardiff City,,"27,344",,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/a136a9eb/Cardiff-City-Everton-August-31-2013-Premier-League,
3,2013-09-14,,Premier League,Matchweek 4,Sat,Home,W,1,0,Chelsea,,"36,034",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/0e464fc2/Everton-Chelsea-September-14-2013-Premier-League,
4,2013-09-21,,Premier League,Matchweek 5,Sat,Away,W,3,2,West Ham,,"34,952",,4-2-3-1,Lee Mason,https://fbref.com/en/matches/2df7ba67/West-Ham-United-Everton-September-21-2013-Premier-League,
5,2013-09-30,,Premier League,Matchweek 6,Mon,Home,W,3,2,Newcastle Utd,,"33,495",,4-2-3-1,Phil Dowd,https://fbref.com/en/matches/3c693bf2/Everton-Newcastle-United-September-30-2013-Premier-League,
6,2013-10-05,,Premier League,Matchweek 7,Sat,Away,L,1,3,Manchester City,,"47,267",,4-2-3-1,Jon Moss,https://fbref.com/en/matches/af874e7a/Manchester-City-Everton-October-5-2013-Premier-League,
7,2013-10-19,,Premier League,Matchweek 8,Sat,Home,W,2,1,Hull City,,"38,828",,4-2-3-1,Neil Swarbrick,https://fbref.com/en/matches/7b8b60b6/Everton-Hull-City-October-19-2013-Premier-League,
8,2013-10-26,,Premier League,Matchweek 9,Sat,Away,W,2,0,Aston Villa,,"35,154",,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/29d842e0/Aston-Villa-Everton-October-26-2013-Premier-League,
9,2013-11-03,,Premier League,Matchweek 10,Sun,Home,D,0,0,Tottenham,,"38,378",,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/25580703/Everton-Tottenham-Hotspur-November-3-2013-Premier-League,
10,2013-11-09,,Premier League,Matchweek 11,Sat,Away,D,0,0,Crystal Palace,,"25,231",,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/552e724e/Crystal-Palace-Everton-November-9-2013-Premier-League,
11,2013-11-23,,Premier League,Matchweek 12,Sat,Home,D,3,3,Liverpool,,"39,576",,4-2-3-1,Phil Dowd,https://fbref.com/en/matches/f12e4941/Merseyside-Derby-Everton-Liverpool-November-23-2013-Premier-League,
12,2013-11-30,,Premier League,Matchweek 13,Sat,Home,W,4,0,Stoke City,,"35,513",,4-2-3-1,Mike Jones,https://fbref.com/en/matches/82dac84a/Everton-Stoke-City-November-30-2013-Premier-League,
13,2013-12-04,,Premier League,Matchweek 14,Wed,Away,W,1,0,Manchester Utd,,"75,210",,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/e0ebb9e1/Manchester-United-Everton-December-4-2013-Premier-League,
14,2013-12-08,,Premier League,Matchweek 15,Sun,Away,D,1,1,Arsenal,,"60,001",,4-2-3-1,Howard Webb,https://fbref.com/en/matches/e4e2bdb3/Arsenal-Everton-December-8-2013-Premier-League,
15,2013-12-14,,Premier League,Matchweek 16,Sat,Home,W,4,1,Fulham,,"33,796",,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/25c463dc/Everton-Fulham-December-14-2013-Premier-League,
16,2013-12-22,,Premier League,Matchweek 17,Sun,Away,W,2,1,Swansea City,,"20,695",,4-2-3-1,Lee Mason,https://fbref.com/en/matches/feaad8dd/Swansea-City-Everton-December-22-2013-Premier-League,
17,2013-12-26,,Premier League,Matchweek 18,Thu,Home,L,0,1,Sunderland,,"39,193",,4-2-3-1,Lee Probert,https://fbref.com/en/matches/ee1e6301/Everton-Sunderland-December-26-2013-Premier-League,
18,2013-12-29,,Premier League,Matchweek 19,Sun,Home,W,2,1,Southampton,,"39,092",,4-2-3-1,Mark Clattenburg,https://fbref.com/en/matches/be28e157/Everton-Southampton-December-29-2013-Premier-League,
19,2014-01-01,,Premier League,Matchweek 20,Wed,Away,D,1,1,Stoke City,,"25,832",,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/5dd9026f/Stoke-City-Everton-January-1-2014-Premier-League,
20,2014-01-11,,Premier League,Matchweek 21,Sat,Home,W,2,0,Norwich City,,"36,827",,4-2-3-1,Kevin Friend,https://fbref.com/en/matches/7a40de87/Everton-Norwich-City-January-11-2014-Premier-League,
21,2014-01-20,,Premier League,Matchweek 22,Mon,Away,D,1,1,West Brom,,"24,184",,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/dce18295/West-Bromwich-Albion-Everton-January-20-2014-Premier-League,
