,num,joueur
0,,Jussi Jääskeläinen
1,,Fabrice Muamba
2,,Stuart Holden
3,,Grétar Steinsson
4,,Paul Robinson
5,,Gary Cahill
6,,Lee Chung-yong
7,,Matthew Taylor
8,,Johan Elmander
9,,Kevin Davies
10,,Zat Knight
