,num,joueur
0,,Maynor Figueroa
1,,Antolín Alcaraz
2,,Hendry Thomas
3,,Mohamed Diamé
4,,Tom Cleverley
5,,Steven Caldwell
6,,Charles N'Zogbia
7,,Steve Gohouri
8,,Hugo Rodallega
9,,
10,,Mike Pollitt
