,num,joueur
0,1,Ben Foster
1,3,Jonas Olsson
2,5,Claudio Yacob
3,6,Jonny Evans
4,8,Craig Gardner
5,9,Salomón Rondón
6,10,Matt Phillips
7,18,Saido Berahino
8,23,Gareth McAuley
9,24,Darren Fletcher
10,25,Craig Dawson
