,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2021-08-14,15:00 ,Premier League,Matchweek 1,Sat,Home,W,3,1,Southampton,2.4,0.8,48,"38,487",Séamus Coleman,4-2-3-1,Andy Madley,https://fbref.com/en/matches/c99ebbf5/Everton-Southampton-August-14-2021-Premier-League,
1,2021-08-21,15:00 ,Premier League,Matchweek 2,Sat,Away,D,2,2,Leeds United,1.8,1.2,31,"36,293",Séamus Coleman,4-4-1-1,Darren England,https://fbref.com/en/matches/b9064680/Leeds-United-Everton-August-21-2021-Premier-League,
3,2021-08-28,15:00 ,Premier League,Matchweek 3,Sat,Away,W,2,0,Brighton,1.4,0.7,35,"30,548",Séamus Coleman,4-4-1-1,Jonathan Moss,https://fbref.com/en/matches/ec8b667a/Brighton-and-Hove-Albion-Everton-August-28-2021-Premier-League,
4,2021-09-13,20:00 ,Premier League,Matchweek 4,Mon,Home,W,3,1,Burnley,1.4,1.0,52,"30,000",Séamus Coleman,3-4-3,Martin Atkinson,https://fbref.com/en/matches/668b2f97/Everton-Burnley-September-13-2021-Premier-League,
5,2021-09-18,17:30 ,Premier League,Matchweek 5,Sat,Away,L,0,3,Aston Villa,0.7,0.8,45,"41,888",Lucas Digne,4-4-1-1,Craig Pawson,https://fbref.com/en/matches/57323feb/Aston-Villa-Everton-September-18-2021-Premier-League,
7,2021-09-25,15:00 ,Premier League,Matchweek 6,Sat,Home,W,2,0,Norwich City,1.9,0.5,47,"38,821",Lucas Digne,4-4-1-1,David Coote,https://fbref.com/en/matches/d516ccbf/Everton-Norwich-City-September-25-2021-Premier-League,
8,2021-10-02,12:30 ,Premier League,Matchweek 7,Sat,Away,D,1,1,Manchester Utd,1.3,1.0,28,"73,128",Lucas Digne,4-4-1-1,Michael Oliver,https://fbref.com/en/matches/2129c7e9/Manchester-United-Everton-October-2-2021-Premier-League,
9,2021-10-17,14:00 ,Premier League,Matchweek 8,Sun,Home,L,0,1,West Ham,0.9,1.2,39,"39,132",Séamus Coleman,4-4-1-1,Stuart Attwell,https://fbref.com/en/matches/15871600/Everton-West-Ham-United-October-17-2021-Premier-League,
10,2021-10-23,15:00 ,Premier League,Matchweek 9,Sat,Home,L,2,5,Watford,1.5,3.7,49,"38,834",Séamus Coleman,4-4-1-1,Graham Scott,https://fbref.com/en/matches/6985d123/Everton-Watford-October-23-2021-Premier-League,
11,2021-11-01,20:00 ,Premier League,Matchweek 10,Mon,Away,L,1,2,Wolves,1.5,1.7,39,"30,617",Séamus Coleman,4-4-2,Martin Atkinson,https://fbref.com/en/matches/c9ad66cc/Wolverhampton-Wanderers-Everton-November-1-2021-Premier-League,
12,2021-11-07,14:00 ,Premier League,Matchweek 11,Sun,Home,D,0,0,Tottenham,0.6,0.7,45,"39,059",Séamus Coleman,4-4-1-1,Chris Kavanagh,https://fbref.com/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League,
13,2021-11-21,14:00 ,Premier League,Matchweek 12,Sun,Away,L,0,3,Manchester City,0.2,2.5,23,"52,571",Séamus Coleman,4-4-1-1,Stuart Attwell,https://fbref.com/en/matches/bfbe7402/Manchester-City-Everton-November-21-2021-Premier-League,
14,2021-11-28,14:00 ,Premier League,Matchweek 13,Sun,Away,L,0,1,Brentford,1.0,1.2,60,"16,957",Séamus Coleman,4-4-1-1,Darren England,https://fbref.com/en/matches/286c4c1c/Brentford-Everton-November-28-2021-Premier-League,
15,2021-12-01,20:15 ,Premier League,Matchweek 14,Wed,Home,L,1,4,Liverpool,0.7,2.4,33,"39,641",Séamus Coleman,4-4-2,Paul Tierney,https://fbref.com/en/matches/b46554fb/Merseyside-Derby-Everton-Liverpool-December-1-2021-Premier-League,
16,2021-12-06,20:00 ,Premier League,Matchweek 15,Mon,Home,W,2,1,Arsenal,0.9,1.0,37,"38,906",Séamus Coleman,4-4-1-1,Mike Dean,https://fbref.com/en/matches/5fdb6c19/Everton-Arsenal-December-6-2021-Premier-League,
17,2021-12-12,16:30 ,Premier League,Matchweek 16,Sun,Away,L,1,3,Crystal Palace,1.0,1.8,39,"24,066",Séamus Coleman,4-1-4-1,Andy Madley,https://fbref.com/en/matches/02abf29a/Crystal-Palace-Everton-December-12-2021-Premier-League,
18,2021-12-16,19:45 ,Premier League,Matchweek 17,Thu,Away,D,1,1,Chelsea,0.6,2.9,20,"13,933",Michael Keane,5-4-1,Michael Oliver,https://fbref.com/en/matches/70209eb1/Chelsea-Everton-December-16-2021-Premier-League,
19,2022-01-02,14:00 ,Premier League,Matchweek 21,Sun,Home,L,2,3,Brighton,1.6,1.7,50,"38,203",Séamus Coleman,5-4-1,John Brooks,https://fbref.com/en/matches/e22bb565/Everton-Brighton-and-Hove-Albion-January-2-2022-Premier-League,
21,2022-01-15,15:00 ,Premier League,Matchweek 22,Sat,Away,L,1,2,Norwich City,0.6,1.0,59,"26,629",Séamus Coleman,4-4-2,Andy Madley,https://fbref.com/en/matches/4574a1a6/Norwich-City-Everton-January-15-2022-Premier-League,
22,2022-01-22,12:30 ,Premier League,Matchweek 23,Sat,Home,L,0,1,Aston Villa,1.6,0.8,50,"38,203",Yerry Mina,4-4-2,Craig Pawson,https://fbref.com/en/matches/83bac3da/Everton-Aston-Villa-January-22-2022-Premier-League,
24,2022-02-08,19:45 ,Premier League,Matchweek 24,Tue,Away,L,1,3,Newcastle Utd,0.7,1.9,60,"52,186",Séamus Coleman,3-4-3,Anthony Taylor,https://fbref.com/en/matches/fde8d97d/Newcastle-United-Everton-February-8-2022-Premier-League,
25,2022-02-12,15:00 ,Premier League,Matchweek 25,Sat,Home,W,3,0,Leeds United,2.7,0.3,42,"39,150",Séamus Coleman,4-4-2,Graham Scott,https://fbref.com/en/matches/0a51943e/Everton-Leeds-United-February-12-2022-Premier-League,
26,2022-02-19,15:00 ,Premier League,Matchweek 26,Sat,Away,L,0,2,Southampton,0.3,2.5,45,"31,312",Séamus Coleman,4-4-2,Andy Madley,https://fbref.com/en/matches/53cc3dbd/Southampton-Everton-February-19-2022-Premier-League,
27,2022-02-26,17:30 ,Premier League,Matchweek 27,Sat,Home,L,0,1,Manchester City,0.5,1.8,33,"39,105",Séamus Coleman,4-3-3,Paul Tierney,https://fbref.com/en/matches/ab729bd6/Everton-Manchester-City-February-26-2022-Premier-League,
29,2022-03-07,20:00 ,Premier League,Matchweek 28,Mon,Away,L,0,5,Tottenham,0.2,2.5,45,"59,647",Séamus Coleman,4-2-3-1,Stuart Attwell,https://fbref.com/en/matches/6e11eac6/Tottenham-Hotspur-Everton-March-7-2022-Premier-League,
30,2022-03-13,14:00 ,Premier League,Matchweek 29,Sun,Home,L,0,1,Wolves,0.4,0.8,39,"39,112",Séamus Coleman,3-4-3,Michael Oliver,https://fbref.com/en/matches/9e5d1f93/Everton-Wolverhampton-Wanderers-March-13-2022-Premier-League,
31,2022-03-17,19:45 ,Premier League,Matchweek 20,Thu,Home,W,1,0,Newcastle Utd,0.7,0.9,39,"39,068",Séamus Coleman,4-2-3-1,Craig Pawson,https://fbref.com/en/matches/029e5f94/Everton-Newcastle-United-March-17-2022-Premier-League,
33,2022-04-03,14:00 ,Premier League,Matchweek 31,Sun,Away,L,1,2,West Ham,0.7,1.2,45,"59,953",Michael Keane,4-3-3,Michael Oliver,https://fbref.com/en/matches/b22e54c4/West-Ham-United-Everton-April-3-2022-Premier-League,
34,2022-04-06,19:30 ,Premier League,Matchweek 19,Wed,Away,L,2,3,Burnley,2.4,2.0,48,"19,830",Jordan Pickford,4-3-3,Mike Dean,https://fbref.com/en/matches/8ee025e7/Burnley-Everton-April-6-2022-Premier-League,
35,2022-04-09,12:30 ,Premier League,Matchweek 32,Sat,Home,W,1,0,Manchester Utd,0.4,0.8,33,"39,080",Séamus Coleman,4-3-3,Jonathan Moss,https://fbref.com/en/matches/f976e20a/Everton-Manchester-United-April-9-2022-Premier-League,
36,2022-04-20,19:45 ,Premier League,Matchweek 18,Wed,Home,D,1,1,Leicester City,1.8,0.9,37,"39,153",Séamus Coleman,4-3-3,David Coote,https://fbref.com/en/matches/46471203/Everton-Leicester-City-April-20-2022-Premier-League,
37,2022-04-24,16:30 ,Premier League,Matchweek 34,Sun,Away,L,0,2,Liverpool,0.4,1.7,18,"53,213",Séamus Coleman,4-3-3,Stuart Attwell,https://fbref.com/en/matches/69235d39/Merseyside-Derby-Liverpool-Everton-April-24-2022-Premier-League,
38,2022-05-01,14:00 ,Premier League,Matchweek 35,Sun,Home,W,1,0,Chelsea,0.8,0.8,23,"39,256",Séamus Coleman,5-4-1,Kevin Friend,https://fbref.com/en/matches/4ed4a295/Everton-Chelsea-May-1-2022-Premier-League,
39,2022-05-08,14:00 ,Premier League,Matchweek 36,Sun,Away,W,2,1,Leicester City,1.1,1.5,34,"32,001",Séamus Coleman,5-4-1,Craig Pawson,https://fbref.com/en/matches/4a972389/Leicester-City-Everton-May-8-2022-Premier-League,
40,2022-05-11,19:45 ,Premier League,Matchweek 30,Wed,Away,D,0,0,Watford,0.7,0.3,52,"20,653",Séamus Coleman,5-4-1,Mike Dean,https://fbref.com/en/matches/948fa2e3/Watford-Everton-May-11-2022-Premier-League,
41,2022-05-15,16:30 ,Premier League,Matchweek 37,Sun,Home,L,2,3,Brentford,2.1,1.4,28,"38,819",Séamus Coleman,3-4-3,Michael Oliver,https://fbref.com/en/matches/1b07c16e/Everton-Brentford-May-15-2022-Premier-League,
