,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2018-08-12,16:00 ,Premier League,Matchweek 1,Sun,Home,L,0,2,Manchester City,0.5,1.7,42,"59,934",Petr Čech,4-2-3-1,Michael Oliver,https://fbref.com/en/matches/478e9dab/Arsenal-Manchester-City-August-12-2018-Premier-League,
1,2018-08-18,17:30 ,Premier League,Matchweek 2,Sat,Away,L,2,3,Chelsea,2.4,1.6,38,"40,491",Petr Čech,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/9b69882c/North-West-London-Derby-Chelsea-Arsenal-August-18-2018-Premier-League,
2,2018-08-25,15:00 ,Premier League,Matchweek 3,Sat,Home,W,3,1,West Ham,1.8,1.1,61,"59,830",Petr Čech,4-2-3-1,Graham Scott,https://fbref.com/en/matches/0014076a/Arsenal-West-Ham-United-August-25-2018-Premier-League,
3,2018-09-02,13:30 ,Premier League,Matchweek 4,Sun,Away,W,3,2,Cardiff City,1.7,1.0,72,"32,316",Petr Čech,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/c1503e09/Cardiff-City-Arsenal-September-2-2018-Premier-League,
4,2018-09-15,15:00 ,Premier League,Matchweek 5,Sat,Away,W,2,1,Newcastle Utd,1.0,0.4,63,"52,165",Petr Čech,4-2-3-1,Lee Probert,https://fbref.com/en/matches/b53e182d/Newcastle-United-Arsenal-September-15-2018-Premier-League,
6,2018-09-23,16:00 ,Premier League,Matchweek 6,Sun,Home,W,2,0,Everton,0.8,0.8,62,"59,964",Petr Čech,4-2-3-1,Jonathan Moss,https://fbref.com/en/matches/a1fb6176/Arsenal-Everton-September-23-2018-Premier-League,
8,2018-09-29,15:00 ,Premier League,Matchweek 7,Sat,Home,W,2,0,Watford,1.4,2.8,63,"60,019",Petr Čech,4-2-3-1,Anthony Taylor,https://fbref.com/en/matches/d51c2069/Arsenal-Watford-September-29-2018-Premier-League,
10,2018-10-07,12:00 ,Premier League,Matchweek 8,Sun,Away,W,5,1,Fulham,1.1,1.4,52,"25,401",Granit Xhaka,4-4-2,Paul Tierney,https://fbref.com/en/matches/af4e1f4f/Fulham-Arsenal-October-7-2018-Premier-League,
11,2018-10-22,20:00 ,Premier League,Matchweek 9,Mon,Home,W,3,1,Leicester City,2.7,0.5,68,"59,886",Mesut Özil,4-2-3-1,Chris Kavanagh,https://fbref.com/en/matches/9ba76788/Arsenal-Leicester-City-October-22-2018-Premier-League,
13,2018-10-28,13:30 ,Premier League,Matchweek 10,Sun,Away,D,2,2,Crystal Palace,0.9,2.3,57,"25,718",Mesut Özil,4-2-3-1,Martin Atkinson,https://fbref.com/en/matches/9113792c/Crystal-Palace-Arsenal-October-28-2018-Premier-League,
15,2018-11-03,17:30 ,Premier League,Matchweek 11,Sat,Home,D,1,1,Liverpool,1.4,1.3,61,"59,993",Mesut Özil,4-2-3-1,Andre Marriner,https://fbref.com/en/matches/09767606/Arsenal-Liverpool-November-3-2018-Premier-League,
17,2018-11-11,16:30 ,Premier League,Matchweek 12,Sun,Home,D,1,1,Wolves,0.9,1.9,71,"60,030",Mesut Özil,4-2-3-1,Stuart Attwell,https://fbref.com/en/matches/419ce689/Arsenal-Wolverhampton-Wanderers-November-11-2018-Premier-League,
18,2018-11-25,13:30 ,Premier League,Matchweek 13,Sun,Away,W,2,1,Bournemouth,1.6,0.6,58,"10,792",Granit Xhaka,3-4-3,Craig Pawson,https://fbref.com/en/matches/753e2ff1/Bournemouth-Arsenal-November-25-2018-Premier-League,
20,2018-12-02,14:05 ,Premier League,Matchweek 14,Sun,Home,W,4,2,Tottenham,2.7,1.2,59,"59,973",Granit Xhaka,3-4-3,Mike Dean,https://fbref.com/en/matches/2ddc7388/North-London-Derby-Arsenal-Tottenham-Hotspur-December-2-2018-Premier-League,
21,2018-12-05,20:00 ,Premier League,Matchweek 15,Wed,Away,D,2,2,Manchester Utd,1.1,1.1,55,"74,507",Aaron Ramsey,3-4-3,Andre Marriner,https://fbref.com/en/matches/12fa1e2f/Manchester-United-Arsenal-December-5-2018-Premier-League,
