,num,joueur
0,,Jussi Jääskeläinen
1,,Martin Petrov
2,,Nigel Reo-Coker
3,,Ivan Klasnić
4,,Kevin Davies
5,,Zat Knight
6,,Gary Cahill
7,,Paul Robinson
8,,Chris Eagles
9,,Grétar Steinsson
10,,Fabrice Muamba
