,num,joueur
0,30,Orestis Karnezis
1,6,Adrian Mariappa
2,9,Troy Deeney
3,15,Craig Cathcart
4,16,Abdoulaye Doucouré
5,19,Will Hughes
6,25,José Holebas
7,27,Christian Kabasele
8,29,Étienne Capoue
9,33,Stefano Okaka
10,37,Roberto Pereyra
