,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
0,Gabriel Agbonlahor,,eng ENG,"FW,MF",23-340,90,0,0,0,,,,0,0,,,,,,,0,,
1,Ashley Young,,eng ENG,"DF,FW",25-071,90,1,0,0,,,,0,0,,,,,,,0,,
2,Stewart Downing,,eng ENG,"FW,MF",26-058,90,0,0,0,,,,0,0,,,,,,,0,,
3,Stiliyan Petrov,,bg BUL,MF,31-075,90,0,0,0,,,,0,0,,,,,,,0,,
4,Stephen Ireland,,ie IRL,MF,24-027,71,0,0,0,,,,0,0,,,,,,,0,,
5,John Carew,,no NOR,FW,31-013,19,0,0,0,,,,0,0,,,,,,,0,,
6,Marc Albrighton,,eng ENG,"DF,FW",20-304,90,0,0,0,,,,0,0,,,,,,,0,,
7,Stephen Warnock,,eng ENG,DF,28-280,90,0,0,0,,,,1,0,,,,,,,0,,
8,Richard Dunne,,ie IRL,DF,30-362,45,0,0,0,,,,0,0,,,,,,,0,,
9,Carlos Cuéllar,,es ESP,DF,29-026,45,0,0,0,,,,0,0,,,,,,,0,,
10,James Collins,,wls WAL,DF,27-026,90,0,0,0,,,,0,0,,,,,,,0,,
11,Luke Young,,eng ENG,DF,31-061,90,0,0,0,,,,0,0,,,,,,,0,,
12,Brad Friedel,,us USA,GK,39-123,90,0,0,0,,,,0,0,,,,,,,0,,
13,13 Players,,,,,990,1,0,0,,,,1,0,,,,,,,0,,
