,num,joueur
0,,John Ruddy
1,,Robert Snodgrass
2,,Ricky van Wolfswinkel
3,,Anthony Pilkington
4,,Alexander Tettey
5,,Michael Turner
6,,Leroy Fer
7,,Martin Olsson
8,,Russell Martin
9,,Sébastien Bassong
10,,Jonny Howson
