,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Roberto Firmino,9.0,br BRA,FW,28-346,90,1,0,0,1,0,0,0,0,2,0,0,0,4,0,3,0.0
1,Sadio Mané,10.0,sn SEN,LW,28-155,90,0,0,0,1,3,1,1,1,0,0,0,0,5,1,2,33.3
2,Mohamed Salah,11.0,eg EGY,RW,28-089,90,0,0,0,1,0,0,0,0,2,0,0,0,7,0,0,
3,Georginio Wijnaldum,5.0,nl NED,LM,29-306,90,0,0,0,0,0,0,0,1,2,0,0,0,7,0,1,0.0
4,Jordan Henderson,14.0,eng ENG,"CM,RM",30-087,65,0,0,0,0,0,0,1,0,4,0,0,0,6,0,0,
5,Curtis Jones,17.0,eng ENG,RM,19-226,25,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0.0
6,Naby Keïta,8.0,gn GUI,RM,25-215,57,0,0,0,1,0,0,0,3,0,0,0,0,2,1,0,100.0
7,Fabinho,3.0,br BRA,CM,26-325,33,0,0,0,1,1,0,0,1,0,1,0,0,3,1,0,100.0
8,Andrew Robertson,26.0,sct SCO,LB,26-185,90,0,0,0,0,0,1,9,2,0,0,0,0,11,2,0,100.0
9,Virgil van Dijk,4.0,nl NED,CB,29-066,90,0,0,0,0,0,0,0,1,0,0,0,0,4,3,1,75.0
10,Joe Gomez,12.0,eng ENG,"CB,RB",23-112,90,0,0,0,1,1,0,0,2,0,0,0,0,11,4,1,80.0
11,Trent Alexander-Arnold,66.0,eng ENG,RB,21-341,88,0,0,0,1,0,0,9,2,0,0,0,0,7,1,2,33.3
12,Joël Matip,32.0,cm CMR,CB,29-035,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
13,Alisson,1.0,br BRA,GK,27-346,90,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,100.0
14,14 Players,,,,,990,1,0,0,9,5,2,20,14,10,1,0,0,71,14,12,53.8
